das Klassentreffen	επανένωση (παλιών συμμαθητών), reunion
der Lebensweg, die Lebenswege	δρόμος ζωής
die Zufriedenheit	ικανοποίηση
die Karierre, die Karierren	καριέρα
unrealistisch	μη ρεαλιστικός
der Schulabschluss	αποφοίτηση από το σχολείο
der Fahrradmarkt	αγορά των ποδηλάτων
das Zahnlabor, die Zahnlabore	οδοντοτεχνικό εργαστήριο
der Ballettänzer, die Ballettänzer / die Ballettänzerin,	χορευτής/χορεύτρια μπαλέτου
die Balletschule, die Balletschulen	σχολή μπαλέτου
die Tanzausbildung	εκπαίδευση ως χορευτής/χορεύτρια
Ich wollte mich selbstständig machen, denn ...	sich selbstständig machen, er macht sich selbstständig, 	 γίνομαι ελεύθερος επαγγελματίας
das Pech	ατυχία, γκίνια
der Glückspilz	τυχεράκιας
das Unglück	ατυχία
der Pechvogel	γκαντέμης
das Schulfach, die Schulfächer	σχολικό μάθημα
der Glückslehrer, die Glückslehrer / die Glückslehrerin,	καθηγητής/καθηγήτρια του μαθήματος „τύχη/ευτυχία“
der Glücksunterricht	μάθημα „τύχη/ευτυχία“
verantwortlich	υπεύθυνος
die Untersuchung, die Untersuchungen	έρευνα
die Karaokebar, die Karaokebars	μπαρ καραόκε
die Bucketliste, die Bucketlisten	κατάλογος με πράγματα που θέλω να κάνω στη ζωή
erreichen, er erreicht, er hat erreicht	καταφέρνω
die To-do-Liste, die To-do-Listen	κατάλογος με πράγματα που έχω/πρέπει να κάνω
der Mietvertrag, die Mietverträge	μισθωτήριο συμβόλαιο
der Bildungsforscher, die Bildungsforscher/	ερευνητής/ερευνήτρια σε θέματα παιδείας
der Krankenpfleger, die Krankenpfleger /	νοσηλευτής, νοσηλεύτρια
der Designer, die Designer / die Designerin,	σχεδιαστής, σχεδιάστρια
die Designerinnen	der IT-Spezialist, die IT-Spezialisten / die IT-Spezialistin, 	 ειδικός για θέματα τεχνολογίας πληροφοριών
der Tischler, die Tischler / die Tischlerin, die Tischlerinnen	ξυλουργός
auf/machen, er macht auf, er hat aufgemacht	ανοίγω
verdienen, er verdient, er hat verdient	κερδίζω (χρήματα)
das Berufsleben	επαγγελματική ζωή
die Kindheit	παιδική ηλικία
die Jugend	εφηβική ηλικία
der Fußballer, die Fußballer / die Fußballerin,	ποδοσφαιριστής
erfüllen, er erfüllt, er hat erfüllt	εκπληρώνω
sich entscheiden, er entscheidet sich, er hat sich	αποφασίζω (να ακολουθήσω ένα επάγγελμα), προκρίνω
das Fußballstadion, die Fußballstadien	γήπεδο (ποδοσφαίρου)
der Geldbeutel, die Geldbeutel	πορτοφόλι
das Lieblingstier, die Lieblingstiere	αγαπημένο ζώο
das Rockfestival, die Rockfestivals	φεστιβάλ μουσικής ροκ
die Spielregeln (Plural!)	κανόνες του παιχνιδιού
an/zeigen, er zeigt an, er hat angezeigt	εμφανίζω, δείχνω
zurück/gehen, er geht zurück, er ist zurückgegangen	οπισθοχωρώ, πηγαίνω πίσω
hinüber müssen, er muss hinüber, er musste hinüber	πρέπει να ξεπεράσω/υπερβώ
sonst	ειδάλλως, διαφορετικά
ernst	σοβαρός
das Literaturzitat, die Literaturzitate	λογοτεχνικό τσιτάτο
geehrt-	αξιότιμος
die Kurzgeschichte, die Kurzgeschichten	σύντομη ιστορία, ιστοριούλα, short story
momentan	αυτό τον καιρό, αυτή τη στιγμή
die Abschlussprüfung, die Abschlussprüfungen	τελική/πτυχιακή εξέταση
der Abschluss, die Abschlüsse	[εδώ!] πτυχίο
dazu/gehören, es gehört dazu, es hat dazugehört	είναι κομμάτι
um + Akk herum	γύρω από ...
die Geschenkidee, die Geschenkideen	ιδέα για δώρο
sich etwas (nicht) leisten können, er kann es sich	(δεν) αντέχω κάτι οικονομικά
mit an/packen, er packt mit an, er hat mit angepackt	βάζω ένα χεράκι, βοηθώ
die Kaffeetasse, die Kaffeetassen	φλιτζάνι του καφέ
übersetzen, er übersetzt, er hat übersetzt	μεταφράζω
Alles Gute!	Χρόνια πολλά!
raus/gehen, er geht raus, er ist rausgegangen	βγαίνω έξω
vor/haben, er hat vor, er hatte vor	σχεδιάζω, σκοπεύω (να κάνω)
der Lieferservice	υπηρεσία delivery
die Geschäftsidee, die Geschäftsideen	επιχειρηματική ιδέα
der Flyer, die Flyer	διαφημιστικό έντυπο, φέιγ βολάν
die Werbung	διαφήμιση
der Geschäftspartner, die Geschäftspartner /	συνέταιρος
das Risiko, die Risiken	ρίσκο, κίνδυνος
der Geschäftsplan, die Geschäftspläne	επιχειρηματικό σχέδιο
die Dialogskizze, die Dialogskizzen	σύντομο σχέδιο του διαλόγου
die Paarprüfung	εξέταση κατά ζεύγη
die Vorbereitungszeit	χρόνος προετοιμασίας
die Wortkarte, die Wortkarten	κάρτα στην οποία είναι τυπωμένη μια λέξη
die Aufgabenkarte, die Aufgabenkarten	κάρτα εντολή
