der Start	αρχή, ξεκίνημα
das Mitteleuropa	Κεντρική Ευρώπη
der Dezember	Δεκέμβριος
der Februar	Φεβρουάριος
die Semesterferien (Plural!)	διακοπές εξαμήνου
der September	Σεπτέμβριος
der Frühling	άνοιξη
die Trockenzeit, die Trockenzeiten	περίοδος ξηρασίας
die Regenzeit, die Regenzeiten	περίοδος βροχών
der Monsun-Regen	μουσώνας [ισχυρός άνεμος με βροχή]
das Wortschatzplakat, die Wortschatzplakate	πλακάτ/αφίσα λεξιλογίου
der Juli	Ιούλιος
die Ferien (Plural!)	διακοπές
der November	Νοέμβριος
das Blatt, die Blätter	φύλλο
der Sturm, die Stürme	θύελλα
der Januar	Ιανουάριος
der Regen	βροχή
die Wortfamilie, die Wortfamilien	οικογένεια λέξεων
das Regenwetter	βροχερός καιρός
blitzen, es blitzt	αστράφτει
donnern, es donnert	βροντάει
der Smalltalk, die Smalltalks	ψιλοκουβέντα, κουβεντούλα περί ανέμων και υδάτων
englisch	αγγλικός
das Kontaktgespräch, die Kontaktgespräche	διάλογος γνωριμίας (για να σπάσει ο πάγος)
die Kasse, die Kassen	ταμείο
das Nichts-Sagen	το να μη λες τίποτα, η σιωπή
unhöflich	αγενής, όχι ευγενικός
das Top-Thema, die Top-Themen	το πιο συνηθισμένο/δημοφιλές θέμα
das Mistwetter	παλιόκαιρος
letzt-	τελευταίος/-α/-ο
furchtbar	φοβερός, φρικτός, απαίσιος
asiatisch	ασιατικός
italienisch	ιταλικός
das Kino, die Kinos	κινηματογράφος, σινεμά
der Urlaub	άδεια [από την εργασία]
es kommt auf (die Situation) an	εξαρτάται από (την περίσταση)
fantastisch	φανταστικός
die Politik	πολιτική
eher	μάλλον
der Streit, die Streite	καβγάς, τσακωμός
erzählen, er erzählt	[εδώ!] λέω
zuhören, er hört zu	ακούω (προσεκτικά)
niemals	ποτέ
neutral	ουδέτερος
der Sportverein, die Sportvereine	αθλητικός σύλλογος
das Grillfest, die Grillfeste	(πάρτι) μπάρμπεκιου
dreitägig	τριήμερος
für Jung und Alt	για μεγάλους και μικρούς
bekannt	γνωστός
der Umzug, die Umzüge	[εδώ!] παρέλαση
der König, die Könige / die Königin, die Königinnen	βασιλιάς, βασίλισσα
das Fußballspiel, die Fußballspiele	αγώνας ποδοσφαίρου, ποδοσφαιρικός αγώνας, ματς
die Planung, die Planungen	σχεδιασμός
die Sonne scheint	ο ήλιος λάμπει, έχει λιακάδα
der Wetterbericht, die Wetterberichte	δελτίο καιρού
schneien, es schneit	χιονίζει
minus	μείον, πλην
uninteressant	όχι ενδιαφέρων, βαρετός
unpraktisch	όχι πρακτικός, άβολος
das Gegensatzpaar, die Gegensatzpaare	ζευγάρι αντιθέτων (στη σημασία) λέξεων
billig	φτηνός
das Wortdiktat, die Wortdiktate	υπαγόρευση λέξεων
geeignet	κατάλληλος
das Filmfestival, die Filmfestivals	κινηματογραφικό φεστιβάλ
es ist windig	φυσάει, έχει αέρα
der Zeltplatz, die Zeltplätze	κατασκήνωση
der Campingplatz, die Campingplätze	κάμπινγκ
buchen, er bucht	κλείνω, κάνω κράτηση
zelten, er zeltet	κατασκηνώνω
beliebt	αγαπητός, δημοφιλής
die Schule, die Schulen	σχολείο
garantiert	εγγυημένα
der Schlafsack, die Schlafsäcke	υπνόσακος, σλίπινμπαγκ
die Straßenkarte, die Straßenkarten	οδικός χάρτης
pur	καθαρός
der Wald, die Wälder	δάσος
der Radtour, die Radtouren	ταξίδι με ποδήλατο
die Tourismusbranche	τουριστικός κλάδος
der Aktivurlaub	διακοπές με δράση
die Erste-Hilfe-Tasche, die Erste-Hilfe-Taschen	τσάντα πρώτων βοηθειών
der Bauernhof, die Bauernhöfe	αγρόκτημα
die Ziege, die Ziegen	κατσίκα
die Kuh, die Kühe	αγελάδα
das Pferd, die Pferde	άλογο
füttern, er füttert	ταϊζω
willkommen sein, er ist willkommen	είμαι ευπρόσδεκτος
der Koffer, die Koffer	βαλίτσα
packen, er packt	φτιάχνω (βαλίτσα)
reisen, er reist	ταξιδεύω
der Rucksack, die Rucksäcke	σακίδιο (πλάτης)
das Souvenir, die Souvenirs	σουβενίρ, αναμνηστικό
das Kleingeld	ψιλά
schließen, er schließt	κλείνω
das Auge, die Augen	μάτι
das Lieblingsbuch, die Lieblingsbücher	αγαπημένο βιβλίο
der Rucksackurlaub	διακοπές με το σακίδιο στην πλάτη
der E-Reader, die E-Reader	ηλεκτρονικός αναγνώστης, e-reader
das Notizbuch, die Notizbücher	σημειωματάριο
die Schwimmbrille, die Schwimmbrillen	γυαλιά/μάσκα (για το μπάνιο)
das Meer, die Meere	θάλασσα
der Strand, die Strände	αμμουδιά, πλαζ
der Platz	[εδώ!] χώρος
setzen, er setzt	βάζω (επάνω σε κάποια επιφάνεια)
genießen, er genießt	απολαμβάνω
der Sound, die Sounds	ήχος (μουσικής)
stören, er stört	ενοχλώ
die Route, die Routen	διαδρομή
der Lieblingsurlaub	αγαπημένες μου διακοπές
die Ausstellung, die Ausstellungen	έκθεση
das Lieblingsziel, die Lieblingsziele	αγαπημένος ταξιδιωτικός στόχος
die Rucksacktour, die Rucksacktouren	διαδρομή με το σακίδιο στην πλάτη
allein(e)	μόνος
die Bahn, die Bahnen	τρένο
übernachten, er übernachtet	διανυκτερεύω
der Tangokurs, die Tangokurse	μαθήματα ταγκό
weiterreisen, er reist weiter	συνεχίζω το ταξίδι
spontan	αυθόρμητα, χωρίς πολλή σκέψη
das Mittelmeer	Μεσόγειος
der Niederländer, die Niederländer /	Ολλανδός, Ολλανδή
der Naturpark, die Naturparks	φυσικό πάρκο
Mal sehen.	Θα δούμε. / Βλέπουμε.
der Traum, die Träume	όνειρο
wohin	προς τα πού
das Gewässer die Gewässer	ύδατα, νερά
die Nordsee	Βόρεια Θάλασσα
die Ostsee	Βαλτική
die Urlaubsaktivität, die Urlaubsaktivitäten	δραστηριότητα διακοπών
das Volleyball	βόλεϊ
das Frühjahr, die Frühjahre	άνοιξη
die Checkliste, die Checklisten	λίστα/κατάλογος ελέγχου
die Sonnenbrille, die Sonnenbrillen	γυαλιά ηλίου
der Reiseführer, die Reiseführer	ταξειδιωτικός οδηγός
die Kommunikation	επικοινωνία
das Erinnerungsfoto, die Erinnerungsfotos	αναμνηστική φωτογραφία
der Flughafen, die Flughäfen	αεροδρόμιο
das Terminal, die Terminals	τέρμιναλ (αεροδρομίου), σταθμός αερολιμένα
die Anrede, die Anreden	προσφώνηση
liebe ..., lieber... (Name)	αγαπητή ..., αγαπητέ ...
die Abschiedsformel, die Abschiedsformeln	έκφραση αποχαιρετισμού
ab!	[εδώ!] εμπρός, πάμε!
der Skiurlaub	διακοπές για σκι
das Urlaubsziel, die Urlaubsziele	στόχος διακοπών
der Campingurlaub	διακοπές σε κάμπινγκ
das Reiseziel, die Reiseziele	ταξιδιωτικός στόχος
das Reisetagebuch, die Reisetagebücher	ημερολόγιο ταξιδιού
der Reisebericht, die Reiseberichte	έκθεση για ένα ταξίδι
der Urlaubsplan, die Urlaubspläne	σχέδιο διακοπών
der Küchentisch, die Küchentische	τραπέζι της κουζίνας
der Urlaubsgruß, die Urlaubsgrüße	χαιρετίσματα από τις διακοπές
die Skihose, die Skihosen	παντελόνι για σκι
das Fußballtraining	ποδοσφαιρική προπόνηση
der Fußballplatz, die Fußballplätze	(ποδοσφαιρικό) γήπεδο
der Ball, die Bälle	μπάλα
der Fußballschuh, die Fußballschuhe	ποδοσφαιρικό παπούτσι
die Süßigkeit, die Süßigkeiten	γλύκισμα
die Vokabel, die Vokabeln	(άγνωστη) λέξη
gießen, er gießt	[εδώ!] ποτίζω
der Fahrradladen, die Fahrradläden	ποδηλατάδικο
die Kobra, die Kobras	κόμπρα
die Anleitung, die Anleitungen	οδηγία
die Seite, die Seiten	[εδώ!] πλευρά
ausstrecken, er streckt aus	τεντώνω, εκτείνω
anheben, er hebt an	σηκώνω, ανασηκώνω
drehen, er dreht	στρέφω, γυρίζω
gerade	[εδώ!] όρθιος
tief	βαθύς, βαθιά
einatmen, er atmet ein	εισπνέω
ausatmen, er atmet aus	εκπνέω
auf jeden Fall	οπωσδήποτε, σε κάθε περίπτωση
auf keinen Fall	σε καμία περίπτωση
die Liebe	αγάπη
das Gras	γρασίδι, χορτάρι
rosarot sehen, er sieht rosarot	τα βλέπω αισιόδοξα
der Neid	ζήλια, φθόνος
die Wut	οργή, θυμός
blau sein, er ist blau	είμαι μεθυσμένος
das Volkslied, die Volkslieder	δημοτικό/λαϊκό τραγούδι
der Jäger, die Jäger / die Jägerin, die Jägerinnen	κυνηγός
der Reiter, die Reiter / die Reiterin, die Reiterinnen	ιππέας, καβαλάρης
der Schornsteinfeger, die Schornsteinfeger /	καπνοδοχοκαθαριστής
der Müller, die Müller / die Müllerin, die Müllerinnen	μυλωνάς, μυλωνού
der Maler, die Maler / die Malerin, die Malerinnen	ζωγράφος
die Strophe, die Strophen	στροφή (τραγουδιού/ποιήματος)
das Zitat, die Zitate	τσιτάτο, παράθεμα
die Weltkarte, die Weltkarten	παγκόσμιος χάρτη
